"date","hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"2004-01-27","09",60,56,93.3333333333333,4.36666666666667,21.8957210173599,0,160,0,0
"2004-01-27","10",60,35,58.3333333333333,91.9,193.033034847336,0,783,0,30.25
"2004-01-27","11",60,0,0,513.85,382.83017543075,23,1521,178,809
"2004-01-27","12",60,8,13.3333333333333,294.116666666667,360.244601068316,0,1182,12,587
"2004-01-27","13",60,3,5,435.733333333333,366.422228743719,0,1620,166,651.25
"2004-01-27","14",60,1,1.66666666666667,810.166666666667,771.85262856713,0,4379,325.25,1086.75
"2004-01-27","15",60,0,0,540.05,479.810040978436,26,1836,175,765
"2004-01-27","16",60,0,0,700.733333333333,275.510488690596,259,1725,517,841.75
"2004-01-27","17",60,0,0,577.066666666667,384.565167899515,46,1521,291.25,771.5
"2004-01-27","18",60,15,25,416.916666666667,407.536929455548,0,1725,2.25,646
"2004-01-27","19",60,4,6.66666666666667,503.133333333333,362.138163851194,0,1384,213.25,723.75
"2004-01-27","20",60,12,20,309.6,294.95918706475,0,1260,31.5,537.25
"2004-01-27","21",60,20,33.3333333333333,279.533333333333,443.911216755763,0,2507,0,356.25
"2004-01-27","22",60,56,93.3333333333333,1.8,7.81523935024993,0,41,0,0
"2004-01-27","23",60,50,83.3333333333333,12.9666666666667,50.523015955532,0,361,0,0
"2004-01-28","00",60,46,76.6666666666667,13.3666666666667,36.7506331856748,0,227,0,0
"2004-01-28","01",60,49,81.6666666666667,11.4666666666667,41.1316475402886,0,250,0,0
"2004-01-28","02",60,55,91.6666666666667,7.18333333333333,33.2456148078931,0,219,0,0
"2004-01-28","03",60,52,86.6666666666667,16.1833333333333,51.5756780369561,0,317,0,0
"2004-01-28","04",60,54,90,4.76666666666667,16.6289177024484,0,88,0,0
"2004-01-28","05",60,53,88.3333333333333,7.98333333333333,24.9477363306293,0,120,0,0
"2004-01-28","06",60,10,16.6666666666667,310,219.089641896738,0,1010,143.25,353
"2004-01-28","07",60,0,0,963.1,512.863370975288,134,2284,485,1351.75
"2004-01-28","08",60,1,1.66666666666667,492.7,467.931593580928,0,1780,125.25,736.25
"2004-01-28","09",60,1,1.66666666666667,431.133333333333,374.277358710005,0,1620,181,646
"2004-01-28","10",60,6,10,227.833333333333,261.586370781299,0,1300,38,330.5
"2004-01-28","11",60,6,10,244.9,210.890099099756,0,689,58,411
"2004-01-28","12",60,2,3.33333333333333,329.333333333333,365.147644467121,0,1780,120,376.25
"2004-01-28","13",60,2,3.33333333333333,487.233333333333,278.529636110936,0,1111,270.25,712
"2004-01-28","14",60,0,0,652.05,427.585670868662,88,2080,335.5,765
"2004-01-28","15",60,0,0,1115.01666666667,509.905890009781,184,2507,752.75,1485.75
"2004-01-28","16",60,1,1.66666666666667,616.433333333333,308.448241223912,0,1260,425,815.5
"2004-01-28","17",60,3,5,621.75,453.016803856404,0,2016,303.5,835
"2004-01-28","18",60,1,1.66666666666667,510.916666666667,258.225383860798,0,978,346.25,689
"2004-01-28","19",60,8,13.3333333333333,608.916666666667,447.919343967823,0,1672,262,897.25
"2004-01-28","20",60,17,28.3333333333333,594.416666666667,697.909719081702,0,2430,0,869
"2004-01-28","21",60,25,41.6666666666667,203.333333333333,337.071066623646,0,1384,0,309.25
"2004-01-28","22",60,57,95,2.91666666666667,20.6843031180706,0,160,0,0
"2004-01-28","23",60,58,96.6666666666667,1.06666666666667,6.02499501840055,0,41,0,0
"2004-01-29","00",60,54,90,9.98333333333333,36.0989655078156,0,204,0,0
"2004-01-29","01",60,52,86.6666666666667,8.78333333333333,30.3801293592869,0,148,0,0
"2004-01-29","02",60,55,91.6666666666667,5.75,22.6600709080824,0,143,0,0
"2004-01-29","03",60,56,93.3333333333333,4.63333333333333,24.3345096844362,0,178,0,0
"2004-01-29","04",60,50,83.3333333333333,7.4,27.7135468312178,0,190,0,0
"2004-01-29","05",60,51,85,39.8833333333333,127.022898198186,0,712,0,0
"2004-01-29","06",60,18,30,386.45,397.506227432298,0,1725,0,646
"2004-01-29","07",60,0,0,1003.73333333333,438.449149271811,154,2016,661.75,1310.25
"2004-01-29","08",60,4,6.66666666666667,357.65,350.763033873587,0,1341,82.75,564
"2004-01-29","09",60,1,1.66666666666667,679.483333333333,580.306917382157,0,2214,82,1119.75
"2004-01-29","10",60,0,0,652.65,370.121502038434,21,1620,371.5,869
"2004-01-29","11",60,2,3.33333333333333,357.133333333333,310.744293301114,0,1672,157,476.75
"2004-01-29","12",60,0,0,395.7,265.351465042121,3,1076,188.5,572.75
"2004-01-29","13",60,0,0,457.083333333333,356.995574756159,3,2080,242,568
"2004-01-29","14",60,0,0,616.216666666667,425.560770289085,49,1780,306,789.5
"2004-01-29","15",60,0,0,1173.96666666667,638.784119568129,139,3214,707,1521
"2004-01-29","16",60,0,0,481.916666666667,274.516418678909,94,1620,369,591.75
"2004-01-29","17",60,0,0,474.566666666667,330.352834830013,6,1384,265.75,717.5
"2004-01-29","18",60,2,3.33333333333333,466.933333333333,569.032567852523,0,3022,192.25,458.5
"2004-01-29","19",60,2,3.33333333333333,389.65,365.428507464588,0,1384,125,517
"2004-01-29","20",60,5,8.33333333333333,192.816666666667,177.538393237762,0,759,45.5,261.25
"2004-01-29","21",60,6,10,184.266666666667,180.851082729117,0,667,37,292.25
"2004-01-29","22",60,9,15,240.733333333333,285.736506964772,0,1474,38.75,338
"2004-01-29","23",60,21,35,265.766666666667,338.579653731443,0,1725,0,298.5
"2004-01-30","00",60,56,93.3333333333333,19.25,134.582042900182,0,1042,0,0
"2004-01-30","01",60,56,93.3333333333333,3.18333333333333,12.4239949177998,0,67,0,0
"2004-01-30","02",60,52,86.6666666666667,5.53333333333333,24.4273163755402,0,178,0,0
"2004-01-30","03",60,51,85,8.1,40.6742745500088,0,306,0,0
"2004-01-30","04",60,57,95,6.86666666666667,46.7291027042894,0,361,0,0
"2004-01-30","05",60,48,80,32.1166666666667,150.11002650222,0,1111,0,0
"2004-01-30","06",60,15,25,272.05,338.521632636249,0,1428,3.75,425.5
"2004-01-30","07",60,1,1.66666666666667,569.15,356.673844507741,0,1836,291.25,712
"2004-01-30","08",60,1,1.66666666666667,387.8,320.156254223846,0,1725,240.25,358
"2004-01-30","09",60,0,0,369.566666666667,131.296709740574,8,759,325.25,398
"2004-01-30","10",60,4,6.66666666666667,498.933333333333,568.220381770917,0,2214,56.5,862
"2004-01-30","11",60,0,0,1223.66666666667,537.409564064525,286,2839,835,1533.25
"2004-01-30","12",60,5,8.33333333333333,902.95,594.837320731974,0,2839,488.5,1310.25
"2004-01-30","13",60,0,0,838.766666666667,371.054263776428,111,2080,545.75,1111
"2004-01-30","14",60,6,10,538.883333333333,704.073067559949,0,3637,52,862
"2004-01-30","15",60,0,0,901.616666666667,411.194378204112,143,1780,606,1221
"2004-01-30","16",60,30,50,273.116666666667,423.695929170296,0,2016,0,393.25
"2004-01-30","17",60,19,31.6666666666667,251.183333333333,320.034769915399,0,1474,0,361
"2004-01-30","18",60,6,10,431.316666666667,404.741243628303,0,1780,101.5,656.75
"2004-01-30","19",60,1,1.66666666666667,594.25,392.480232688027,0,2214,268,862
"2004-01-30","20",60,7,11.6666666666667,341.916666666667,437.296830953052,0,1894,23,521
"2004-01-30","21",60,27,45,34.2,56.9465404969983,0,242,0,40.25
"2004-01-30","22",60,45,75,129.366666666667,316.575209510846,0,1521,0,5.75
"2004-01-30","23",60,49,81.6666666666667,18.8333333333333,95.8268506773256,0,734,0,0
"2004-01-31","00",60,41,68.3333333333333,99.7333333333333,215.909653631035,0,1042,0,58.75
"2004-01-31","01",60,52,86.6666666666667,5.6,22.427434773252,0,143,0,0
"2004-01-31","02",60,56,93.3333333333333,2.1,10.0552709847259,0,70,0,0
"2004-01-31","03",60,53,88.3333333333333,17.05,77.913995392138,0,439,0,0
"2004-01-31","04",60,54,90,24.3166666666667,105.895133875599,0,587,0,0
"2004-01-31","05",60,56,93.3333333333333,6.65,34.610581805011,0,250,0,0
"2004-01-31","06",60,22,36.6666666666667,242.4,331.647822194119,0,1672,0,392.25
"2004-01-31","07",60,7,11.6666666666667,341.066666666667,309.698862301324,0,1010,51.25,587
"2004-01-31","08",60,0,0,529.016666666667,295.625593010717,55,1474,361,672.5
"2004-01-31","09",60,5,8.33333333333333,655.25,437.151783941676,0,2016,306,897.25
"2004-01-31","10",60,0,0,723.8,438.628208263839,67,2080,496.25,890
"2004-01-31","11",60,0,0,652.95,383.694061787314,46,2080,386,789.5
"2004-01-31","12",60,0,0,625.033333333333,475.7059683897,3,1620,197,986
"2004-01-31","13",60,0,0,868.75,536.799290995768,37,2430,439,1076
"2004-01-31","14",60,0,0,656.7,395.703077349329,32,2016,382.75,862
"2004-01-31","15",60,0,0,878.233333333333,577.73932209413,166,3022,512.75,1018
"2004-01-31","16",60,0,0,625.133333333333,401.04860294097,5,1725,338,883.5
"2004-01-31","17",60,3,5,475.866666666667,356.89202025864,0,1428,233,759
"2004-01-31","18",60,0,0,772.466666666667,298.84418402854,134,1954,601.25,890
"2004-01-31","19",60,2,3.33333333333333,379.466666666667,339.920851538611,0,1570,82,572.75
"2004-01-31","20",60,14,23.3333333333333,535.833333333333,459.135893131415,0,2016,32,862
"2004-01-31","21",60,38,63.3333333333333,128.966666666667,303.427034016008,0,1521,0,49.75
"2004-01-31","22",60,55,91.6666666666667,7.8,33.8600309349424,0,235,0,0
"2004-01-31","23",60,52,86.6666666666667,4.08333333333333,18.4870927641438,0,134,0,0
"2004-02-01","00",60,50,83.3333333333333,23.05,82.687778081575,0,517,0,0
"2004-02-01","01",60,50,83.3333333333333,21.8,73.3731581641614,0,454,0,0
"2004-02-01","02",60,46,76.6666666666667,26.3666666666667,70.6890940852892,0,328,0,0
"2004-02-01","03",60,51,85,20.9666666666667,77.5903992546576,0,533,0,0
"2004-02-01","04",60,53,88.3333333333333,5.55,18.6651356313206,0,94,0,0
"2004-02-01","05",60,49,81.6666666666667,14.3,52.1709380753405,0,277,0,0
"2004-02-01","06",60,51,85,18.85,72.0827737478688,0,500,0,0
"2004-02-01","07",60,14,23.3333333333333,314.65,350.320425963799,0,1474,15,481
"2004-02-01","08",60,0,0,532.283333333333,347.624095226325,58,1725,325.25,689
"2004-02-01","09",60,0,0,608,297.048532244269,58,1384,407.75,759
"2004-02-01","10",60,0,0,661.483333333333,209.886449661269,98,1111,545.75,815.5
"2004-02-01","11",60,0,0,815.466666666667,470.356787284539,116,2080,512.75,1111
"2004-02-01","12",60,0,0,728.733333333333,453.609959635176,82,2752,517,783
"2004-02-01","13",60,0,0,814.733333333333,312.68985374132,306,1620,601.25,1042
"2004-02-01","14",60,0,0,1010.95,446.382272330396,143,2507,678.25,1310.25
"2004-02-01","15",60,0,0,643.55,250.173392412515,212,1474,469,835
"2004-02-01","16",60,0,0,571.616666666667,229.536828525876,160,1182,435.5,712
"2004-02-01","17",60,0,0,534.216666666667,235.794013212097,27,1146,370,672.5
"2004-02-01","18",60,0,0,851.316666666667,423.738506335467,166,2146,587,986
"2004-02-01","19",60,0,0,760.1,376.920649833869,154,1780,496.25,986
"2004-02-01","20",60,6,10,612.033333333333,550.055003926546,0,2752,71.5,883.5
"2004-02-01","21",60,24,40,253,422.754606866819,0,1570,0,367.25
"2004-02-01","22",60,26,43.3333333333333,170.75,373.73368679324,0,2214,0,155.5
"2004-02-01","23",60,54,90,17.55,91.8455640034871,0,646,0,0
"2004-02-02","00",60,49,81.6666666666667,25.3333333333333,92.6798145369253,0,517,0,0
"2004-02-02","01",60,53,88.3333333333333,42.2333333333333,175.786114901292,0,1182,0,0
"2004-02-02","02",60,51,85,12.5333333333333,47.7803827082979,0,328,0,0
"2004-02-02","03",60,52,86.6666666666667,9.56666666666667,32.9562456037363,0,204,0,0
"2004-02-02","04",60,48,80,10.8666666666667,36.4693819416924,0,235,0,0
"2004-02-02","05",60,49,81.6666666666667,12.3333333333333,36.5910365363194,0,204,0,0
"2004-02-02","06",60,16,26.6666666666667,405.6,382.673742527939,0,1341,0,631
"2004-02-02","07",60,0,0,961.716666666667,534.582114371263,34,3314,601.25,1221
"2004-02-02","08",60,4,6.66666666666667,642.666666666667,579.886098303494,0,2016,145.75,1119.75
"2004-02-02","09",60,4,6.66666666666667,456.833333333333,403.878281994299,0,1620,98.5,717.5
"2004-02-02","10",60,2,3.33333333333333,740.533333333333,549.440284279102,0,2214,303.5,1084.75
"2004-02-02","11",60,0,0,327.15,345.773994228522,12,1725,101,386
"2004-02-02","12",60,2,3.33333333333333,607.033333333333,457.362222160824,0,1954,217.25,796
"2004-02-02","13",60,1,1.66666666666667,625.35,675.604583606291,0,3214,160,771.5
"2004-02-02","14",60,1,1.66666666666667,643.833333333333,427.70460131813,0,2214,303.5,869
"2004-02-02","15",60,0,0,1030.11666666667,477.657316056104,197,2752,712,1260
"2004-02-02","16",60,2,3.33333333333333,592.683333333333,408.602682639122,0,1836,281.5,904.5
"2004-02-02","17",60,0,0,896.516666666667,595.952093731198,5,2929,432,1310.25
"2004-02-02","18",60,1,1.66666666666667,691.533333333333,314.645911649133,0,1521,450.25,926.25
"2004-02-02","19",60,16,26.6666666666667,334.95,450.526976750184,0,1725,0,469
"2004-02-02","20",60,8,13.3333333333333,221.8,176.663790617246,0,587,55.75,352
"2004-02-02","21",60,12,20,356.016666666667,456.856150325675,0,2146,10.5,587
"2004-02-02","22",60,53,88.3333333333333,24.7833333333333,133.153803215434,0,1010,0,0
"2004-02-02","23",60,54,90,5.61666666666667,18.0958761728543,0,88,0,0
"2004-02-03","00",60,54,90,5.83333333333333,23.9732666552619,0,154,0,0
"2004-02-03","01",60,46,76.6666666666667,12.2666666666667,35.9843971209494,0,166,0,0
"2004-02-03","02",60,45,75,14.2,36.1746235616973,0,184,0,0.75
"2004-02-03","03",60,51,85,6.91666666666667,24.6441051958466,0,143,0,0
"2004-02-03","04",60,53,88.3333333333333,15.6,73.3958849814034,0,533,0,0
"2004-02-03","05",60,52,86.6666666666667,20.6166666666667,77.3740839690946,0,469,0,0
"2004-02-03","06",60,16,26.6666666666667,398.6,397.29970755982,0,1521,0,631
"2004-02-03","07",60,0,0,849.483333333333,442.51042280808,52,1672,435.5,1182
"2004-02-03","08",60,1,1.66666666666667,550.883333333333,440.578821577478,0,1521,181,815.5
"2004-02-03","09",60,4,6.66666666666667,390.333333333333,298.817027324764,0,1221,161.5,606
"2004-02-03","10",60,1,1.66666666666667,520.816666666667,286.440663933741,0,1221,325.25,667
"2004-02-03","11",60,1,1.66666666666667,527.866666666667,382.57975646458,0,1725,256.75,783
"2004-02-03","12",60,12,20,280.033333333333,364.502538489064,0,1341,9,508.25
"2004-02-03","13",60,0,0,501,408.982366699576,3,1521,213.5,626
"2004-02-03","14",60,2,3.33333333333333,564.583333333333,426.020819562337,0,1954,229.25,752.75
"2004-02-03","15",60,0,0,746.983333333333,360.37219421257,219,1570,450.25,1018
"2004-02-03","16",60,0,0,469.183333333333,284.169589593464,3,1221,293.5,626
"2004-02-03","17",60,0,0,550.1,406.741441212965,14,1620,242,742.75
"2004-02-03","18",60,0,0,578.15,289.333414206294,38,1182,435.5,789.5
"2004-02-03","19",60,6,10,542.583333333333,477.601823083235,0,2080,158.5,783
"2004-02-03","20",60,8,13.3333333333333,214.05,272.301703624142,0,1042,12,325
"2004-02-03","21",60,10,16.6666666666667,306.166666666667,343.892975402339,0,1260,20.25,414.5
"2004-02-03","22",60,38,63.3333333333333,179.133333333333,353.20241791726,0,1570,0,259
"2004-02-03","23",60,52,86.6666666666667,13.5333333333333,41.127938735521,0,197,0,0
"2004-02-04","00",60,54,90,14.6166666666667,64.9226636844716,0,469,0,0
"2004-02-04","01",60,53,88.3333333333333,14.7,65.740450102361,0,361,0,0
"2004-02-04","02",60,51,85,9.15,31.1588739162508,0,160,0,0
"2004-02-04","03",60,55,91.6666666666667,5.3,21.0683311221175,0,116,0,0
"2004-02-04","04",60,47,78.3333333333333,30.3166666666667,109.783221166613,0,734,0,0
"2004-02-04","05",60,51,85,14.2166666666667,65.6049015496909,0,469,0,0
"2004-02-04","06",60,15,25,424.9,406.390548568863,0,1620,12.75,646
"2004-02-04","07",60,0,0,927.316666666667,422.906468469621,134,2016,587,1260
"2004-02-04","08",60,0,0,371.1,347.30310602934,12,1836,128.75,554.5
"2004-02-04","09",60,4,6.66666666666667,428.25,342.197268164115,0,1428,154.75,672.5
"2004-02-04","10",60,0,0,588.066666666667,400.142977271733,154,1894,320,672.5
"2004-02-04","11",60,0,0,663.45,480.279453432926,98,2080,293.5,809
"2004-02-04","12",60,1,1.66666666666667,681.583333333333,539.309706049824,0,2929,283.75,978
"2004-02-04","13",60,0,0,487,370.613600233405,43,2016,204,626.75
"2004-02-04","14",60,2,3.33333333333333,338.25,291.55536294333,0,948,131.75,508.25
"2004-02-04","15",60,0,0,746.066666666667,426.294394444102,88,2146,425,955.5
"2004-02-04","16",60,2,3.33333333333333,526.2,401.882721740931,0,2016,259,626
"2004-02-04","17",60,1,1.66666666666667,1667.83333333333,1838.65156159936,0,7182,401.5,1954
"2004-02-04","18",60,0,0,1817.2,1827.85231758894,172,8000,563.5,2231.5
"2004-02-04","19",60,12,20,436.033333333333,425.289571009024,0,1474,24.75,740.25
