"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",1080,427,39.537037037037,241.110185185185,344.293912697615,0,2312,0,394
"01",1080,711,65.8333333333333,81.7324074074074,201.597985121255,0,2172,0,54.5
"02",1080,781,72.3148148148148,53.9194444444444,145.579752407711,0,1277,0,8
"03",1080,845,78.2407407407407,33.9546296296296,119.724524618156,0,1495,0,0
"04",1080,931,86.2037037037037,18.1805555555556,79.2830465807873,0,933,0,0
"05",1080,880,81.4814814814815,27.3712962962963,105.61863351811,0,1404,0,0
"06",1080,826,76.4814814814815,54.2481481481481,163.120819509519,0,1238,0,0
"07",1080,663,61.3888888888889,131.237962962963,287.130296353226,0,2172,0,109
"08",1070,525,49.0654205607477,200.158878504673,345.893470288562,0,2871,0,266
"09",1080,448,41.4814814814815,280.22962962963,423.848707260926,0,2784,0,434
"10",1080,270,25,438.232407407407,463.945445030493,0,4859,2.25,701
"11",1080,270,25,364.197222222222,413.946295639257,0,2460,2.25,598
"12",1080,297,27.5,335.743518518518,372.060417869911,0,2106,0,579
"13",1080,241,22.3148148148148,362.049074074074,405.524238105997,0,2618,13,561
"14",1080,312,28.8888888888889,314.486111111111,391.746030663915,0,2618,0,493
"15",1080,326,30.1851851851852,260.688888888889,361.457193266509,0,4163,0,381
"16",1080,302,27.962962962963,300.144444444444,390.650835788186,0,3794,0,448
"17",1080,284,26.2962962962963,341.736111111111,405.27615019426,0,2106,0,526
"18",1080,228,21.1111111111111,321.225925925926,342.759746218108,0,1860,18.75,493
"19",1080,323,29.9074074074074,256.549074074074,340.187792818658,0,2106,0,407
"20",1080,306,28.3333333333333,269.930555555556,361.16572125944,0,3566,0,407
"21",1080,328,30.3703703703704,224.558333333333,309.003766087046,0,1919,0,324
"22",1080,289,26.7592592592593,220.303703703704,299.340771502903,0,2784,0,334
"23",1080,395,36.5740740740741,180.185185185185,299.251855150309,0,2241,0,241
