"hour","nof_measurements","nof_zero","zero_proportion","mean","sd","min","max","quantile_25","quantile_75"
"00",1020,231,22.6470588235294,276.51568627451,396.365347209018,0,2570,5,370
"01",1020,650,63.7254901960784,160.727450980392,389.818659221068,0,3399,0,83
"02",1020,923,90.4901960784314,27.0745098039216,159.872895837932,0,2131,0,0
"03",1020,896,87.843137254902,29.6382352941176,153.267036904212,0,3002,0,0
"04",1020,784,76.8627450980392,52.0862745098039,173.929718606587,0,2341,0,0
"05",1020,742,72.7450980392157,78.3696078431373,215.315824947584,0,2066,0,12.25
"06",1020,610,59.8039215686275,152.916666666667,324.696733144767,0,2199,0,132.25
"07",1020,287,28.1372549019608,356.78137254902,475.138430575855,0,2492,0,564
"08",1020,139,13.6274509803922,345.038235294118,475.433480742796,0,3399,37.75,464
"09",1020,60,5.88235294117647,288.537254901961,342.389908503246,0,2492,57,407
"10",1076,62,5.76208178438662,301.312267657993,375.488180940637,0,2651,53,407
"11",1020,29,2.84313725490196,414.419607843137,475.085036970366,0,5750,90,582
"12",1020,41,4.01960784313725,400.856862745098,433.734350555472,0,3002,90,564
"13",1020,32,3.13725490196078,414.346078431373,432.444237426208,0,3002,93,620
"14",1020,30,2.94117647058824,381.909803921569,392.947428734093,0,2821,93,545
"15",1020,30,2.94117647058824,509.946078431373,423.367271931131,0,2492,181,728
"16",1020,49,4.80392156862745,500.007843137255,520.0372711951,0,3097,92.25,751
"17",1020,23,2.25490196078431,432.558823529412,442.454590042686,0,5750,151,545
"18",1020,69,6.76470588235294,330.18431372549,390.399892298641,0,3616,66,464
"19",1020,81,7.94117647058823,340.11568627451,424.685547064179,0,3097,52,479
"20",1020,57,5.58823529411765,388.46862745098,397.729088534662,0,3296,96,545
"21",1020,63,6.17647058823529,340.751960784314,401.097249037628,0,4778,60,479
"22",1020,117,11.4705882352941,302.869607843137,399.705295825727,0,3002,38,449
"23",1020,167,16.3725490196078,216.543137254902,290.699344736763,0,3195,24.5,293
